Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
259,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,385210,"""Design and Creative strategy in any company"
260,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,575007,"""Business Operations in any organization"
261,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,385001
262,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,574141,"""Design and Creative strategy in any company"
263,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,385001
264,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,576221,"""Design and Creative strategy in any company"
265,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,385001
266,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,574227
267,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,385001
268,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,576106,"""Teaching in any of the institutes/online or Offline"
269,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,420,"""Work in a BPO setup for some well known client"
270,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,576213
271,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,576210
272,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,385001,"""Business Operations in any organization"
273,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,385001,"""Design and Creative strategy in any company"
274,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
275,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,576221,"""Design and Creative strategy in any company"
276,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,605008
277,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,385120,"""Manage and drive End-to-End Projects or Products"
278,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,605601,"""Business Operations in any organization"
279,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,385001
280,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,607301
281,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,576229,"""Business Operations in any organization"
282,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,385001
283,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,385001,"""Teaching in any of the institutes/online or Offline"
284,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,385210
285,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,574611,"""Design and Creative strategy in any company"
