Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
641,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560034
642,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560064
643,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
644,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,603103
645,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,144003,"""Teaching in any of the institutes/colleges/online or offline"
646,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,800003
647,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,380058
648,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,400037
649,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,411040
650,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,631209,"""Teaching in any of the institutes/colleges/online or offline"
651,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,364002
652,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500088
653,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,524002
654,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,110059
655,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with No option to visit offices
656,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,800001
657,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,515571
658,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,517503,"""Design and Creative strategy in any company"
659,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,201306,"""Design and Creative strategy in any company"
660,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,602024
661,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,517501
662,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,560064
663,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,422101
664,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560064
665,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,517592,"""Manage and drive End-to-End Projects or Products"
666,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,641004,"""Business Operations in any organization"
667,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,600099
668,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,517123
669,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,641015
670,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560065
671,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,518501
672,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,442902
673,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,500036
674,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,631209
675,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,632007
676,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
677,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
678,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,500072,"""Design and Creative strategy in any company"
679,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,410206
680,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,577201,"""Business Operations in any organization"
681,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,632007
682,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,201009,"""Teaching in any of the institutes/colleges/online or offline"
683,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,510101
684,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,122001,"""Manage and drive End-to-End Projects or Products"
685,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,305001
686,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,110059
687,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,400072
688,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
689,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,110059
690,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,641663
691,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,641004,"""Teaching in any of the institutes/colleges/online or offline"
692,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
693,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,400067,"""Design and Creative strategy in any company"
694,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400067,"""Design and Creative strategy in any company"
695,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
696,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,574102,"""Design and Creative strategy in any company"
697,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,507002
698,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,132001
699,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,314025
700,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,305001
701,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,382418,"""Business Operations in any organization"
702,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,132001
